traders-redis  | 1:signal-handler (1776959369) Received SIGTERM scheduling shutdown...
traders-redis  | 1:M 23 Apr 2026 15:49:29.809 # Redis is now ready to exit, bye bye...
traders-redis  | 1:signal-handler (1776994895) Received SIGTERM scheduling shutdown...
traders-redis  | 1:M 24 Apr 2026 01:41:35.671 # Redis is now ready to exit, bye bye...
traders-redis  | 1:C 28 Apr 2026 21:05:09.738 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
traders-redis  | 1:C 28 Apr 2026 23:43:50.704 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
traders-redis  | 1:C 29 Apr 2026 00:08:48.359 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
traders-redis  | 1:C 29 Apr 2026 01:16:39.734 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
traders-redis  | 1:C 29 Apr 2026 01:38:23.616 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
traders-redis  | 1:signal-handler (1777427508) Received SIGTERM scheduling shutdown...
traders-redis  | 1:M 29 Apr 2026 01:51:48.563 # Redis is now ready to exit, bye bye...
traders-redis  | 1:C 29 Apr 2026 01:52:03.549 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
traders-redis  | 1:signal-handler (1777427552) Received SIGTERM scheduling shutdown...
